epoch,step,train_loss_denorm,train_loss_norm,val_loss_denorm,val_loss_norm
0,0,,,51.26377868652344,0.4821888208389282
0,0,155.54708862304688,1.4630813598632812,,
1,1,,,64.86833953857422,0.6101537942886353
1,1,44.062294006347656,0.4144514799118042,,
2,2,,,81.97000122070312,0.7710126638412476
2,2,77.42058563232422,0.7282206416130066,,
3,3,,,62.60482406616211,0.5888630747795105
3,3,99.29581451416016,0.9339799284934998,,
4,4,,,42.31816482543945,0.3980461061000824
4,4,73.9786376953125,0.6958456039428711,,
5,5,,,44.14530944824219,0.41523227095603943
5,5,43.765262603759766,0.4116576015949249,,
6,6,,,62.910091400146484,0.5917344689369202
6,6,36.00408935546875,0.3386557400226593,,
7,7,,,76.33796691894531,0.7180376052856445
7,7,48.10609436035156,0.4524875581264496,,
8,8,,,71.80056762695312,0.6753586530685425
8,8,58.68133544921875,0.5519586801528931,,
9,9,,,55.05866241455078,0.5178835988044739
9,9,54.59949493408203,0.5135647654533386,,
