epoch,step,train_loss_denorm,train_loss_norm,val_loss_denorm,val_loss_norm
0,743,,,21.993675231933594,0.20687325298786163
0,743,40.95389938354492,0.38521379232406616,,
1,1487,,,21.93091583251953,0.20628292858600616
1,1487,20.85127067565918,0.1961277574300766,,
2,2231,,,21.290966033935547,0.20026355981826782
2,2231,20.639284133911133,0.19413380324840546,,
3,2975,,,21.232664108276367,0.19971516728401184
3,2975,20.667234420776367,0.1943967044353485,,
4,3719,,,21.37036895751953,0.20101042091846466
4,3719,20.555194854736328,0.19334286451339722,,
5,4463,,,21.270004272460938,0.20006637275218964
5,4463,20.527814865112305,0.19308532774448395,,
6,5207,,,22.74910545349121,0.21397888660430908
6,5207,20.507661819458008,0.19289574027061462,,
7,5951,,,20.996475219726562,0.1974935680627823
7,5951,20.54060935974121,0.19320568442344666,,
8,6695,,,21.417011260986328,0.20144911110401154
8,6695,20.54022789001465,0.19320210814476013,,
9,7439,,,21.03769874572754,0.1978813111782074
9,7439,20.48747444152832,0.19270586967468262,,
10,8183,,,20.90866470336914,0.1966676265001297
10,8183,20.326793670654297,0.1911945343017578,,
11,8927,,,20.898326873779297,0.19657038152217865
11,8927,20.229793548583984,0.19028210639953613,,
12,9671,,,21.272193908691406,0.20008698105812073
12,9671,20.093477249145508,0.1889999359846115,,
13,10415,,,22.5673885345459,0.2122696489095688
13,10415,20.157489776611328,0.18960201740264893,,
14,11159,,,20.9990291595459,0.19751755893230438
14,11159,20.1318302154541,0.18936069309711456,,
15,11903,,,20.779611587524414,0.19545374810695648
15,11903,20.06956672668457,0.18877503275871277,,
16,12647,,,21.347795486450195,0.20079809427261353
16,12647,20.09769058227539,0.18903955817222595,,
17,13391,,,20.97040367126465,0.19724830985069275
17,13391,20.064611434936523,0.18872840702533722,,
18,14135,,,20.78329849243164,0.19548840820789337
18,14135,19.88751220703125,0.18706262111663818,,
19,14879,,,20.715665817260742,0.19485227763652802
19,14879,19.953109741210938,0.18767963349819183,,
20,15623,,,21.19023323059082,0.19931603968143463
20,15623,20.009632110595703,0.18821127712726593,,
21,16367,,,20.866422653198242,0.19627030193805695
21,16367,19.83394432067871,0.18655875325202942,,
22,17111,,,21.114553451538086,0.19860421121120453
22,17111,19.784526824951172,0.18609394133090973,,
23,17855,,,20.72948455810547,0.19498224556446075
23,17855,19.81367301940918,0.18636807799339294,,
24,18599,,,20.591476440429688,0.19368411600589752
24,18599,19.747922897338867,0.18574963510036469,,
25,19343,,,21.008426666259766,0.19760596752166748
25,19343,19.724666595458984,0.1855308711528778,,
26,20087,,,20.954269409179688,0.197096586227417
26,20087,19.598508834838867,0.18434426188468933,,
27,20831,,,20.91120719909668,0.19669152796268463
27,20831,19.64156150817871,0.18474918603897095,,
28,21575,,,20.43967056274414,0.19225625693798065
28,21575,19.595041275024414,0.1843116581439972,,
29,22319,,,20.67253303527832,0.19444656372070312
29,22319,19.536624908447266,0.18376217782497406,,
