epoch,step,train_loss_denorm,train_loss_norm,val_loss_denorm,val_loss_norm
0,0,,,75.03551483154297,0.7057865858078003
0,0,230.38323974609375,2.166992425918579,,
1,1,,,78.08887481689453,0.7345066070556641
1,1,89.02095794677734,0.8373340964317322,,
2,2,,,131.72732543945312,1.2390316724777222
2,2,75.2237319946289,0.7075569033622742,,
3,3,,,146.9140625,1.3818787336349487
3,3,115.46095275878906,1.0860296487808228,,
4,4,,,120.37303924560547,1.1322327852249146
4,4,127.64990234375,1.2006793022155762,,
5,5,,,81.99729919433594,0.7712694406509399
5,5,105.85523223876953,0.9956779479980469,,
