epoch,step,train_loss_denorm,train_loss_norm,val_loss_denorm,val_loss_norm
0,0,,,51.26377868652344,0.4821888208389282
0,0,155.54708862304688,1.4630813598632812,,
1,1,,,64.86833953857422,0.61015385389328
1,1,44.062294006347656,0.4144514501094818,,
2,2,,,81.9699935913086,0.7710126042366028
2,2,77.42058563232422,0.7282206416130066,,
3,3,,,62.60481643676758,0.5888630151748657
3,3,99.29582977294922,0.9339797496795654,,
4,4,,,42.31816101074219,0.39804607629776
4,4,73.97863006591797,0.6958455443382263,,
5,5,,,44.14530944824219,0.41523227095603943
5,5,43.765262603759766,0.4116576015949249,,
6,6,,,62.91008377075195,0.5917344689369202
6,6,36.004093170166016,0.3386557400226593,,
7,7,,,76.33796691894531,0.718037486076355
7,7,48.106101989746094,0.4524875581264496,,
8,8,,,71.80056762695312,0.6753585934638977
8,8,58.68133544921875,0.5519586205482483,,
9,9,,,55.058658599853516,0.5178835988044739
9,9,54.599491119384766,0.5135646462440491,,
