epoch,step,train_loss_denorm,train_loss_norm,val_loss_denorm,val_loss_norm
0,1,,,77.17752075195312,0.7259344458580017
0,1,154.9037322998047,1.4570298194885254,,
1,3,,,146.78614807128906,1.3806754350662231
1,3,84.05992889404297,0.79067063331604,,
2,5,,,88.86839294433594,0.8358991146087646
2,5,121.7648696899414,1.1453245878219604,,
3,7,,,49.1911735534668,0.46269387006759644
3,7,75.25128173828125,0.7078161239624023,,
4,9,,,61.993446350097656,0.5831124782562256
4,9,62.376861572265625,0.5867187976837158,,
5,11,,,54.26301956176758,0.5103998184204102
5,11,73.73019409179688,0.6935086846351624,,
6,13,,,37.46647262573242,0.3524109125137329
6,13,54.0304069519043,0.5082118511199951,,
7,15,,,41.38616180419922,0.38927963376045227
7,15,36.60911560058594,0.3443465828895569,,
8,17,,,47.515220642089844,0.4469297528266907
8,17,42.1824951171875,0.3967699706554413,,
9,19,,,37.32993698120117,0.35112664103507996
9,19,42.159690856933594,0.39655551314353943,,
10,21,,,27.585914611816406,0.2594740688800812
10,21,31.523462295532227,0.2965106964111328,,
11,23,,,27.774890899658203,0.2612515687942505
11,23,28.388729095458984,0.2670253813266754,,
12,25,,,27.212900161743164,0.2559654712677002
12,25,33.90776062011719,0.31893759965896606,,
13,27,,,23.92604637145996,0.2250492125749588
13,27,29.978351593017578,0.28197741508483887,,
14,29,,,24.873348236083984,0.23395957052707672
14,29,21.052932739257812,0.19802464544773102,,
15,31,,,25.36858367919922,0.23861776292324066
15,31,22.13808822631836,0.2082315981388092,,
16,33,,,23.394916534423828,0.22005338966846466
16,33,25.03923797607422,0.2355199158191681,,
17,35,,,22.696908950805664,0.2134878933429718
17,35,25.068199157714844,0.235792338848114,,
18,37,,,23.241064071655273,0.21860623359680176
18,37,23.50863265991211,0.22112298011779785,,
19,39,,,22.894084930419922,0.21534253656864166
19,39,19.64482879638672,0.18477994203567505,,
