epoch,step,train_loss_step,val_loss
0,49,0.06323610991239548,
0,99,0.036324985325336456,
0,149,0.07037384808063507,
0,199,0.08446963131427765,
0,249,0.03530699387192726,
0,299,0.04021022468805313,
0,349,0.042673733085393906,
0,399,0.03088376484811306,
0,449,0.041888054460287094,
0,499,0.026414688676595688,
0,549,0.022885741665959358,
0,599,0.015804685652256012,
0,649,0.034047309309244156,
0,699,0.019262593239545822,
0,749,0.02192038670182228,
0,799,0.028569161891937256,
0,849,0.036451585590839386,
0,899,0.031229615211486816,
0,949,0.06549284607172012,
0,999,0.04327577352523804,
0,1049,0.019689327105879784,
0,1099,0.018887868151068687,
0,1149,0.02637672610580921,
0,1199,0.02859232947230339,
0,1249,0.05317028984427452,
0,1299,0.039055705070495605,
0,1349,0.0144447460770607,
0,1399,0.01375899650156498,
0,1449,0.021507004275918007,
0,1499,0.020005160942673683,
0,1549,0.020103275775909424,
0,1599,0.03106355480849743,
0,1649,0.007747612427920103,
0,1699,0.015770044177770615,
0,1749,0.026184720918536186,
0,1799,0.0161112193018198,
0,1849,0.02108565717935562,
0,1899,0.01223333366215229,
0,1949,0.02537965215742588,
0,1999,0.015659037977457047,
0,2049,0.0182960145175457,
0,2099,0.009503409266471863,
0,2149,0.039293792098760605,
0,2199,0.030802402645349503,
0,2249,0.013143043965101242,
0,2299,0.02621808648109436,
0,2349,0.03362538665533066,
0,2399,0.045812562108039856,
0,2449,0.007544980384409428,
0,2499,0.02580489218235016,
0,2549,0.034494418650865555,
0,2599,0.02774924784898758,
0,2649,0.004785452503710985,
0,2699,0.03545164316892624,
0,2749,0.013705236837267876,
0,2799,0.015438306145370007,
0,2849,0.007849174551665783,
0,2899,0.022436849772930145,
0,2949,0.017163071781396866,
0,2975,,0.01725347898900509
